wfName,taskName,nodeName,rank
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,r5.2xlarge,15
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,r5a.large,24
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,r5a.xlarge,1
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,r5a.2xlarge,21
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,d3.xlarge,5
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,d3.2xlarge,3
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,i3.large,23
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,i3.xlarge,25
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,i3.2xlarge,26
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,z1d.large,16
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,z1d.xlarge,8
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,z1d.2xlarge,17
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5.large,7
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5.xlarge,19
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5.2xlarge,27
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5a.large,14
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5a.xlarge,21
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5a.2xlarge,20
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5zn.large,13
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5zn.xlarge,12
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,m5zn.2xlarge,10
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,c5.xlarge,11
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,c5.2xlarge,4
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,c5a.xlarge,8
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,c5a.2xlarge,9
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,r5.large,18
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,r5.xlarge,2
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,r5.2xlarge,17
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,r5a.large,24
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,r5a.xlarge,1
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,r5a.2xlarge,23
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,d3.xlarge,5
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,d3.2xlarge,3
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,i3.large,22
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,i3.xlarge,25
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,i3.2xlarge,26
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,z1d.large,15
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,z1d.xlarge,6
