wfName,taskName,nodeName,rank
nfcore/sarek:2.7.1,MultiQC,c5.xlarge,8.30379746835443
nfcore/sarek:2.7.1,MultiQC,c5a.xlarge,5.670886075949367
nfcore/sarek:2.7.1,MultiQC,r5.large,13.89873417721519
nfcore/sarek:2.7.1,MultiQC,m5.large,13.430379746835444
nfcore/sarek:2.7.1,MultiQC,d3.xlarge,12.341772151898734
nfcore/sarek:2.7.1,MultiQC,r5.xlarge,15.60759493670886
nfcore/sarek:2.7.1,MultiQC,m5.xlarge,15.063291139240507
nfcore/sarek:2.7.1,MultiQC,i3.2xlarge,22.645569620253166
nfcore/sarek:2.7.1,MultiQC,i3.large,22.164556962025316
nfcore/sarek:2.7.1,MultiQC,i3.xlarge,24.27848101265823
nfcore/sarek:2.7.1,MultiQC,r5a.2xlarge,24.189873417721518
nfcore/sarek:2.7.1,MultiQC,m5a.2xlarge,23.088607594936708
nfcore/sarek:2.7.1,MultiQC,m5a.large,20.139240506329113
nfcore/sarek:2.7.1,MultiQC,r5a.large,20.82278481012658
nfcore/sarek:2.7.1,MultiQC,m5a.xlarge,22.075949367088608
nfcore/sarek:2.7.1,MultiQC,r5a.xlarge,22.10126582278481
